 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
SS,Dane,Wilson,6 - 1,178,2,93,MIA,3,15,3,0,0,0,0,0,"0
"
ILB,Rabih,Delaney,6 - 1,237,2,87,NO,9,55,0,0,1,1,0,0,"0
"
CB,Wayne,Hape,5 - 10,184,2,82,HOU,2,8,2,0,0,0,0,1,"0
"
ILB,Blair,Williams,6 - 2,247,2,86,HOU,11,85,0,0,1,1,0,0,"0
"
CB,George,Brady,5 - 11,181,2,81,NYG,7,31,2,0,1,0,0,1,"0
"
FS,Daniel,Scott,6 - 1,172,R,74,NYJ,3,11,2,0,0,0,0,0,"0
"
OLB,David,Kuppe,5 - 11,214,1,77,BUF,3,18,1,0,0,0,0,1,"0
"
FS,Kevin,Collins,5 - 11,196,2,71,SEA,3,12,1,0,0,0,0,0,"0
"
DE,Clayton,James,6 - 6,265,R,71,STL,1,1,0,0.5,0,0,0,0,"0
"
ILB,Ed,Haws,6 - 1,241,2,75,GB,5,32,1,0,0,0,0,0,"0
"
CB,Tony,Ross,5 - 11,188,3,77,CLE,1,3,1,0,0,0,0,0,"0
"
SS,Jeff,Hudson,6 - 0,183,3,77,SEA,1,2,1,0,0,0,0,0,"0
"
OLB,Ronald,Jagade,6 - 0,234,R,68,NYJ,1,6,0,0,0,0,0,0,"0
"
CB,Jeremy,Bell,5 - 10,170,R,71,IND,1,2,1,0,0,0,0,0,"0
"
ILB,Dewey,Tomlinson,5 - 11,220,R,78,KC,9,56,1,0,0,0,0,0,"0
"
OLB,Chris,Reed,6 - 1,230,R,77,SF,10,60,0,2,0,0,0,0,"0
"
ILB,Mike,Bledsoe,6 - 1,231,2,81,WAS,12,81,1,0,1,1,0,0,"0
"
ILB,Daleroy,Smart,5 - 11,224,1,87,SF,11,82,3,0,0,1,0,0,"0
"
OLB,Charley,Graham,5 - 11,224,1,76,ARI,8,48,1,0.5,0,1,0,0,"0
"
DT,Mike,Wohlabaugh,6 - 3,287,R,81,CAR,7,26,0,5.5,0,0,0,0,"0
"
OLB,Trent,Haynes,6 - 1,228,1,84,CAR,5,31,1,2,0,1,0,0,"0
"
OLB,Terry,Hill,6 - 0,221,1,83,CIN,1,5,0,0,0,0,0,0,"0
"
ILB,Rich,Smith,5 - 11,226,R,69,TEN,1,3,1,0,0,0,0,0,"0
"
DT,Marlin,Eason,6 - 3,286,R,79,BAL,3,15,1,0,0,0,0,0,"0
"
SS,Dan,Maxwell,5 - 10,181,3,72,TB,2,8,1,0,0,0,0,0,"0
"
DT,Kevin,Nitschke,6 - 2,270,2,81,WAS,2,12,0,1,0,0,0,0,"0
"
CB,Jim,Dupre,6 - 2,182,R,79,MIN,3,11,1,0.5,0,0,0,0,"0
"
ILB,Tunch,Richardson,5 - 11,217,R,83,SD,7,47,0,0,2,0,0,0,"0
"
CB,Keith,Wells,6 - 2,177,1,83,STL,1,3,1,0,0,0,0,0,"0
"
CB,Isaiah,Polsfoot,5 - 11,183,1,85,STL,4,17,3,0,0,0,0,1,"0
"
DE,Barron,Anthony,6 - 3,278,2,91,BAL,6,21,0,6.5,0,0,0,0,"0
"
DE,Tommy,Wietecha,6 - 2,277,3,85,BAL,1,3,0,1,0,0,0,0,"0
"
