 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
SS,Brandon,Sauter,6 - 2,200,1,86,STL,7,38,7,0,0,0,0,2,"0
"
SS,Walter,Valdez,5 - 11,178,1,79,PIT,1,5,0,0,0,0,0,0,"0
"
OLB,Donald,Collier,6 - 1,205,R,74,PHI,5,28,0,0,1,0,0,0,"0
"
DE,Mike,Taylor,6 - 4,295,3,85,GB,7,20,0,6,1,0,0,0,"0
"
ILB,Johnny,Grossman,6 - 4,243,3,80,ARI,3,20,0,0,0,0,0,0,"0
"
SS,Rob,Evans,6 - 3,182,R,79,ARI,3,20,0,0,0,0,0,0,"0
"
OLB,Alton,Drazenovich,6 - 1,217,R,76,TEN,3,17,0,0,1,0,0,0,"0
"
CB,Will,Hall,5 - 10,224,R,83,NYG,7,32,6,0,0,0,0,0,"0
"
FS,Reynaldo,Harris,5 - 9,174,2,86,HOU,5,29,1,0,0,0,0,0,"0
"
DE,Shamar,Manning,6 - 1,276,R,75,JAX,2,5,0,2.5,0,0,0,0,"0
"
CB,Justin,Davis,5 - 11,173,2,92,MIA,6,18,6,0,0,0,0,1,"0
"
FS,Keith,Farr,6 - 1,174,3,84,DET,3,6,3,0,0,0,0,0,"0
"
DE,Mark,Logan,6 - 3,287,3,87,NE,9,26,0,9.5,1,0,0,0,"0
"
CB,Bob,Brewer,6 - 1,179,4,80,NO,9,45,4,0,0,0,0,1,"0
"
FS,Alex,Collins,6 - 0,214,4,88,NYG,5,22,4,0,0,0,0,1,"0
"
DT,Reggie,Hedberg,6 - 8,258,1,78,PHI,7,27,0,5.5,0,0,0,0,"1
"
ILB,Andre,Brooks,6 - 1,256,4,97,DET,12,100,0,0,0,1,0,0,"0
"
OLB,Peter,Williams,6 - 0,213,R,77,NYG,2,13,0,0.5,0,0,0,0,"0
"
OLB,Anthony,Brown,6 - 1,223,R,79,WAS,3,17,1,0,0,0,0,0,"0
"
SS,Kliff,Papac,6 - 0,161,2,77,OAK,2,12,1,0,0,0,0,1,"0
"
DE,Josh,Swift,6 - 4,264,2,75,TEN,2,9,0,1,1,0,0,0,"0
"
DT,Malik,Dawson,6 - 3,281,R,81,KC,11,46,0,9.5,1,1,0,0,"0
"
OLB,James,Turner,6 - 2,237,3,85,ATL,3,17,0,0,0,1,0,1,"0
"
ILB,Daleroy,Smart,5 - 11,224,2,90,SF,13,96,2,2,2,2,0,0,"0
"
OLB,Thomas,Stewart,6 - 2,254,3,83,CLE,3,19,0,1,1,1,0,0,"0
"
DT,Bill,Kelly,6 - 1,282,3,80,CIN,7,35,0,4.5,0,0,0,0,"0
"
CB,Aaron,Samuelsson,6 - 2,202,R,74,IND,4,9,3,0,1,0,0,1,"0
"
DT,David,Lee,6 - 3,278,3,86,NO,3,10,0,2.5,0,0,0,0,"0
"
CB,Michael,Barber,6 - 0,183,1,83,WAS,5,18,5,0,0,0,0,0,"0
"
DE,Claxton,Robertson,6 - 6,275,2,73,DEN,2,7,0,1,0,0,0,0,"0
"
OLB,Bill,Gehrke,5 - 11,241,2,82,NE,1,7,0,0,0,0,0,0,"0
"
SS,Dane,Wilson,6 - 1,178,3,95,MIA,7,49,3,1,1,3,0,1,"0
"
SS,Mike,Robinson,6 - 0,196,4,76,SF,2,5,2,0,0,0,0,0,"0
"
CB,B.J.,Dawkins,5 - 11,176,4,77,ATL,2,13,0,0,0,0,0,0,"0
"
OLB,Chris,Reed,6 - 1,230,1,81,SF,8,51,1,3.5,0,1,0,1,"0
"
CB,Archie,Velasquez,5 - 9,186,2,80,BUF,4,19,1,0,0,0,0,0,"0
"
SS,Jake,Raymond,5 - 10,189,R,71,CIN,1,5,0,0,0,0,0,0,"0
"
OLB,Hugh,Boerigter,6 - 2,251,2,80,JAX,2,11,0,0,0,0,0,0,"0
"
SS,Calvin,Celestin,6 - 1,202,1,81,CIN,1,2,1,0,0,0,0,0,"0
"
CB,T.J.,Hunter,6 - 0,203,R,80,DAL,2,6,2,0,0,0,0,1,"0
"
FS,Darius,Jones,6 - 1,205,R,83,ATL,8,55,3,0,0,0,0,1,"0
"
CB,Cameron,Newhouse,5 - 11,177,3,84,TB,7,37,4,0,0,0,0,1,"0
"
CB,Adam,Harris,6 - 1,183,2,76,NO,3,7,3,0,0,0,0,1,"0
"
DE,Lonzell,Rentzel,6 - 8,265,2,70,DAL,1,1,0,0,1,0,0,0,"0
"
DE,Demarius,Strong,6 - 4,254,1,80,NO,5,13,1,3.5,0,0,0,0,"0
"
ILB,Mark,Craig,6 - 1,230,3,92,NE,9,61,2,0,0,0,0,0,"0
"
DT,Bob,Ballard,6 - 1,292,3,88,NYJ,7,23,0,9,0,1,0,0,"0
"
DE,Charles,Lewis,6 - 5,266,2,76,GB,4,11,1,1.5,0,1,0,0,"0
"
FS,Reggie,Beasley,5 - 10,207,3,86,MIA,2,8,2,0,0,0,0,1,"0
"
SS,Chris,Brown,5 - 11,176,1,82,IND,3,12,2,0,0,0,0,1,"0
"
DE,David,Drake,6 - 2,271,1,74,MIA,1,2,0,0.5,1,0,0,0,"0
"
OLB,Scott,Wallace,5 - 11,207,R,70,DET,2,9,1,0,0,0,0,0,"0
"
DE,Rodney,Galbreath,6 - 8,301,4,91,SD,11,37,0,10.5,0,1,0,0,"0
"
ILB,Freddy,Suarez,6 - 2,226,R,77,NYG,2,15,0,0,0,0,0,0,"0
"
DE,Mike,Hill,6 - 7,289,3,86,CLE,4,15,0,5,0,0,0,0,"0
"
ILB,Willard,Arnold,6 - 2,249,3,85,NE,7,48,1,0,0,1,0,0,"0
"
CB,Kevin,Potts,6 - 1,183,1,79,SD,5,25,2,0,0,0,0,1,"0
"
DE,Joey,Davis,6 - 5,268,3,83,NE,4,12,0,3.5,0,0,0,0,"0
"
DT,James,Arnold,6 - 8,291,R,76,NYJ,1,4,0,0.5,0,0,0,0,"0
"
DT,Je'Rod,Wimbush,6 - 4,277,3,87,CLE,1,5,0,0.5,0,0,0,0,"0
"
DE,Preston,Bryant,6 - 8,280,1,80,JAX,5,15,0,4,0,0,0,0,"0
"
DE,Keyshawn,Vance,6 - 2,240,1,76,NYG,1,2,0,1,0,0,0,0,"0
"
CB,Allen,Foster,6 - 1,172,1,76,NYG,1,2,1,0,0,0,0,0,"0
"
FS,Sean,Burton,6 - 0,202,3,94,IND,8,40,6,0,0,0,0,1,"0
"
DE,Benjamin,Blankenship,6 - 1,290,R,82,MIA,6,22,0,8,1,0,0,0,"1
"
DE,Alvis,Brumm,6 - 6,268,4,99,NYJ,12,42,2,14.5,0,1,0,0,"2
"
CB,D.J.,Reed,5 - 10,183,R,75,CIN,3,11,3,0,0,0,0,0,"0
"
DE,Ray,McBride,6 - 6,275,2,85,CLE,9,27,1,8.5,0,0,0,0,"0
"
OLB,Jason,Bryant,6 - 2,227,4,84,MIA,1,6,0,1,0,0,0,0,"0
"
DE,Cliff,Marconi,6 - 2,267,1,79,NO,1,2,0,1,0,0,0,0,"0
"
DT,Rich,Moore,6 - 7,307,3,90,JAX,9,33,0,7,0,0,0,0,"0
"
SS,Norris,Nolan,5 - 10,178,1,78,NE,3,15,2,0,0,0,0,1,"0
"
DT,Jeremy,Miller,6 - 1,304,2,90,NO,8,31,0,13,0,0,0,0,"0
"
DT,Jeremy,Owen,6 - 8,290,1,78,NE,2,8,0,1.5,0,0,0,0,"0
"
