 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
FB,Scott,Jenkins,5 - 11,216,Jr,1.5,2.5,Northern Illinois,2,8,11,2,0,0,1.38,"5.50
"
RB,Mario,Davis,6 - 0,226,(Jr),3.5,3.5,West Virginia,1,2,19,0,0,0,9.50,"19.00
"
FB,Kenneth,Pacheco,6 - 2,218,Jr,3.5,3.5,Oklahoma State,1,2,7,1,0,0,3.50,"7.00
"
RB,Michael,Hartley,5 - 11,210,So,1.5,3.0,TCU,2,11,27,0,0,0,2.45,"13.50
"
RB,Dave,Pagac,6 - 0,170,(Jr),4.0,4.0,Texas Tech,13,207,923,7,0,4,4.46,"71.00
"
RB,Jim,O'Neal,5 - 11,173,(So),3.5,4.0,Georgia,13,252,1241,11,2,7,4.92,"95.46
"
RB,Dean,DeLong,6 - 3,211,(So),3.0,4.0,USC,3,30,111,2,0,0,3.70,"37.00
"
RB,Jim,Franci,5 - 8,173,(Jr),3.5,3.5,Washington State,12,102,391,2,1,0,3.83,"32.58
"
QB,Matty,Swift,5 - 11,198,(So),4.0,5.0,Texas A&M,1,2, - 9,0,1,0, - 4.50," - 9.00
"
RB,Timmy,Woolford,5 - 9,200,(Sr),3.5,3.5,North Carolina,1,6,20,0,0,0,3.33,"20.00
"
QB,Orly,Vaccaro,6 - 2,215,Jr,4.0,4.0,San Diego State,14,99,663,8,0,0,6.70,"47.36
"
FB,Johnny,Mangum,6 - 0,225,Sr,3.5,3.5,Wake Forest,1,3,8,1,0,0,2.67,"8.00
"
RB,Asante,Sowell,6 - 3,194,(So),3.5,5.0,Wisconsin,14,256,1277,18,1,4,4.99,"91.21
"
FB,Cory,Hendricks,6 - 1,239,(Jr),4.5,4.5,Oklahoma,2,6,11,2,0,0,1.83,"5.50
"
QB,Joaquin,Younger,6 - 5,215,(Jr),5.0,5.0,Oregon,12,74,455,8,1,0,6.15,"37.92
"
RB,Reggie,Tittle,6 - 0,204,Sr,4.0,4.0,Virginia Tech,2,6,45,0,0,0,7.50,"22.50
"
RB,Christopher,Spann,5 - 8,173,(Sr),2.5,2.5,Kansas State,8,149,584,7,0,1,3.92,"73.00
"
QB,Paul,Davenport,6 - 0,198,(Jr),5.0,5.0,Miami FL,14,117,1028,14,0,4,8.79,"73.43
"
RB,Craig,Grimsley,6 - 1,216,Sr,4.0,4.0,Louisville,12,152,654,9,1,1,4.30,"54.50
"
FB,Lamar,Kelly,6 - 1,217,Sr,3.0,3.0,Wisconsin,3,13,23,4,0,0,1.77,"7.67
"
RB,Randy,Martin,5 - 8,200,(Fr),2.5,4.0,Michigan State,12,243,1019,7,4,2,4.19,"84.92
"
RB,Keyshawn,Polsfoot,6 - 1,206,(So),4.0,4.0,Army,13,212,1046,15,0,4,4.93,"80.46
"
WR,Damian,Chambers,6 - 2,183,(So),3.5,3.5,Florida State,1,2,54,1,0,0,27.00,"54.00
"
RB,Ike,Nimmo,5 - 9,219,(Sr),5.0,5.0,Virginia Tech,12,211,1215,11,0,6,5.76,"101.25
"
QB,Charles,Conley,6 - 1,201,So,2.0,3.0,Buffalo,2,3,10,0,0,0,3.33,"5.00
"
FB,David,Snyder,6 - 0,224,(So),2.5,2.5,Minnesota,2,7,6,2,0,0,0.86,"3.00
"
RB,Raul,Mitchell,5 - 10,198,(Fr),2.0,3.0,Oregon,1,7,35,1,0,0,5.00,"35.00
"
RB,Jason,Fullwood,5 - 9,191,Sr,4.0,4.0,Wisconsin,2,7,41,0,0,0,5.86,"20.50
"
FB,Marlon,McKenzie,6 - 0,216,(So),4.5,4.5,Pittsburgh,2,13,27,1,0,0,2.08,"13.50
"
FB,Dick,Bates,6 - 0,207,(Jr),3.0,3.0,West Virginia,2,5,10,2,0,0,2.00,"5.00
"
QB,DeSean,Jenkins,6 - 4,195,Jr,4.0,4.5,Wake Forest,11,76,554,4,0,0,7.29,"50.36
"
QB,Keith,Simon,6 - 2,212,Jr,3.5,3.5,Alabama,1,1,3,0,0,0,3.00,"3.00
"
RB,Justin,Couture,5 - 10,178,(So),3.0,4.0,Ohio,11,162,784,8,1,0,4.84,"71.27
"
RB,George,Rodgers,6 - 0,182,(Sr),4.0,4.0,LSU,13,198,918,10,2,0,4.64,"70.62
"
QB,Bob,Dowler,6 - 4,203,(Sr),4.5,4.5,Virginia,1,2, - 5,0,1,0, - 2.50," - 5.00
"
QB,Jason,Vick,6 - 0,188,(So),3.0,3.0,Baylor,12,65,281,7,0,0,4.32,"23.42
"
RB,Frank,Barrett,6 - 0,185,Sr,3.0,3.0,South Carolina,12,128,608,8,0,0,4.75,"50.67
"
RB,Jeff,Collett,5 - 11,193,Sr,4.5,5.0,NC State,13,249,1401,17,1,7,5.63,"107.77
"
QB,Rob,Green,6 - 2,175,(Jr),4.0,4.0,Virginia Tech,11,67,386,5,1,0,5.76,"35.09
"
RB,Ben,Curry,5 - 11,193,(So),3.5,4.0,Boston College,2,15,63,1,0,0,4.20,"31.50
"
RB,Peter,Hamilton,5 - 10,200,Jr,2.0,3.5,Wyoming,12,239,790,8,2,5,3.31,"65.83
"
RB,Marvin,Washington,5 - 8,178,(Jr),4.0,4.5,California,12,179,786,13,0,1,4.39,"65.50
"
RB,Justin,Ryckman,6 - 0,212,Sr,2.5,2.5,Iowa,3,15,76,1,0,0,5.07,"25.33
"
FB,Daniel,Potter,6 - 1,213,Jr,3.5,4.0,Arkansas,3,14,11,2,0,0,0.79,"3.67
"
RB,Donald,Smith,5 - 10,182,Sr,2.0,2.0,Utah State,12,206,723,7,1,1,3.51,"60.25
"
FB,John,Salisbury,6 - 1,222,(So),3.5,3.5,Penn State,4,16,40,4,0,0,2.50,"10.00
"
RB,Charles,Rocha,5 - 10,185,So,2.5,4.0,Nevada,12,281,1464,12,0,6,5.21,"122.00
"
FB,Lonnie,Wyatt,5 - 10,216,Sr,1.5,1.5,Buffalo,1,3,2,1,0,0,0.67,"2.00
"
WR,Timothy,Ruiz,6 - 2,203,Jr,2.0,3.0,Central Michigan,1,2,9,1,0,0,4.50,"9.00
"
RB,Justin,Samuels,6 - 4,187,(So),3.5,4.0,Michigan,3,12,50,1,0,0,4.17,"16.67
"
RB,Sean,Bell,6 - 1,209,Fr,3.0,5.0,Baylor,12,118,425,0,1,0,3.60,"35.42
"
RB,Buzz,Etcheverry,5 - 10,182,(Sr),5.0,5.0,UCF,15,334,1912,19,0,12,5.72,"127.47
"
RB,Christopher,Rodriguez,5 - 11,191,Sr,4.0,4.0,Ball State,11,236,1219,13,1,6,5.17,"110.82
"
RB,Tyrone,Medina,5 - 11,197,Jr,2.0,2.0,Oregon State,5,31,116,1,0,0,3.74,"23.20
"
QB,James,Mitchell,6 - 0,214,(So),3.0,3.5,UCF,10,63,355,6,1,0,5.63,"35.50
"
